Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
Doran	Lloyd	N	1947	1947	C	F	NA	73	175	January	10	1921	Canada	0
Stefaniw	Morris	N	1973	1973	C	F	NA	71	170	January	10	1948	Canada	0
Cole	Danton	N	1990	1996	C	F	RW	71	185	January	10	1967	USA	0
Nilsson	Robert	N	2006	2009	C	F	NA	71	185	January	10	1985	Canada	0
Brennan	Doug	N	1932	1934	D	D	NA	71	180	January	10	1905	Canada	0
Butters	Bill	N	1978	1979	D	D	NA	70	185	January	10	1951	USA	0
Manery	Randy	N	1971	1980	D	D	NA	73	185	January	10	1949	Canada	0
Clark	Dean	N	1984	1984	D	D	NA	73	180	January	10	1964	Canada	0
Serowik	Jeff	N	1991	1999	D	D	NA	73	210	January	10	1967	USA	0
Gilbert	Tom	N	2007	2009	D	D	NA	75	206	January	10	1983	USA	0
Tallinder	Henrik	N	2002	2009	D	D	NA	75	214	January	10	1979	Sweden	0
Beauregard	Stephane	N	1990	1994	G	G	NA	71	190	January	10	1968	Canada	0
Stana	Rastislav	N	2004	2004	G	G	NA	74	184	January	10	1980	Czech Republic	0
Hay	George	Y	1927	1934	LW	F	NA	70	155	January	10	1898	Canada	0
Mahovlich	Frank	Y	1957	1974	LW	F	NA	73	205	January	10	1938	Canada	0
Leveille	Normand	N	1982	1983	LW	F	NA	70	175	January	10	1963	Canada	0
McBride	Cliff	N	1929	1930	RW	F	D	70	180	January	10	1909	Canada	0
Metz	Don	N	1940	1949	RW	F	NA	70	165	January	10	1916	Canada	0
Brown	Connie	N	1939	1943	C	F	NA	67	168	January	11	1917	Canada	0
Thurier	Fred	N	1941	1945	C	F	NA	71	160	January	11	1916	Canada	0
Reid	Dave	N	1953	1956	C	F	NA	74	180	January	11	1934	Canada	0
Sheehan	Bobby	N	1970	1982	C	F	NA	67	155	January	11	1949	USA	0
Young	Warren	N	1982	1988	C	F	NA	75	195	January	11	1956	Canada	0
Mulhern	Ryan	N	1998	1998	C	F	NA	73	202	January	11	1973	USA	0
Mapletoft	Justin	N	2003	2004	C	F	NA	73	202	January	11	1981	Canada	0
Burrows	Dave	N	1972	1981	D	D	NA	73	190	January	11	1949	Canada	0
Carlson	Kent	N	1984	1989	D	D	NA	75	200	January	11	1962	USA	0
Ramage	Rob	N	1980	1994	D	D	NA	74	200	January	11	1959	Canada	0
Fitzpatrick	Rory	N	1996	2008	D	D	NA	74	208	January	11	1975	USA	0
Kerr	Dave	N	1931	1941	G	G	NA	70	160	January	11	1910	Canada	0
Behrend	Marc	N	1984	1986	G	G	NA	73	180	January	11	1961	USA	0
Flaherty	Wade	N	1992	2003	G	G	NA	73	171	January	11	1968	Canada	0
Tordjman	Josh	N	2009	2009	G	G	NA	73	157	January	11	1985	Canada	0
Hamill	Robert	N	1938	1951	LW	F	NA	71	180	January	11	1917	Canada	0
Corrigan	Mike	N	1968	1978	LW	F	NA	70	175	January	11	1946	Canada	0
Bergeron	Yves	N	1975	1977	RW	F	NA	69	165	January	11	1952	Canada	0
Bergland	Tim	N	1990	1994	RW	F	NA	75	194	January	11	1965	USA	0
LeBoutillier	Peter	N	1997	1998	RW	F	NA	73	190	January	11	1975	Canada	0
Stern	Ron	N	1988	2000	RW	F	NA	73	200	January	11	1967	Canada	0
Shill	Jack	N	1934	1939	C	F	NA	69	175	January	12	1913	Canada	0
LeBlanc	Fern	N	1977	1979	C	F	NA	69	170	January	12	1956	Canada	0
Sobchuk	Dennis	N	1980	1983	C	F	NA	74	176	January	12	1954	Canada	0
Knutsen	Espen	N	1998	2004	C	F	NA	71	188	January	12	1972	Norway	0
Heffernan	Frank	N	1920	1920	D	D	NA	73	210	January	12	1892	Canada	0
Ritchie	Dave	N	1918	1926	D	D	NA	67	180	January	12	1892	Canada	0
Raymond	Armand	N	1938	1940	D	D	NA	69	185	January	12	1913	USA	0
Horton	Tim	Y	1950	1974	D	D	NA	70	180	January	12	1930	Canada	0
Vasko	Rick	N	1978	1981	D	D	NA	73	185	January	12	1957	Canada	0
Lambert	Dan	N	1991	1992	D	D	NA	68	177	January	12	1970	Canada	0
Vallis	Lindsay	N	1994	1994	D	D	NA	75	207	January	12	1971	Canada	0
McBain	Mike	N	1998	1999	D	D	NA	74	195	January	12	1977	Canada	0
More	 Jayson 	N	1989	1999	D	D	NA	73	210	January	12	1969	Canada	0
Russell	Cam	N	1990	1999	D	D	NA	76	200	January	12	1969	Canada	0
Boumedienne	Josef	N	2002	2004	D	D	NA	73	200	January	12	1978	Sweden	0
Kronwall	Niklas	N	2004	2009	D	D	NA	73	189	January	12	1981	Sweden	0
Rheaume	Herb	N	1926	1926	G	G	NA	73	200	January	12	1900	Canada	0
Bittner	Richard	N	1950	1950	G	G	NA	73	170	January	12	1922	USA	0
Parent	Rich	N	1998	2001	G	G	NA	75	195	January	12	1973	Canada	0
Thibault	Jocelyn	N	1994	2008	G	G	NA	71	169	January	12	1975	Canada	0
Emms	Hap	N	1927	1938	LW	F	D	73	190	January	12	1905	Canada	0
Evans	Daryl	N	1982	1987	LW	F	NA	69	185	January	12	1961	Canada	0
Fraser	Curt	N	1979	1990	LW	F	NA	73	200	January	12	1958	USA	0
Dahlen	Ulf	N	1988	2003	LW	F	NA	74	199	January	12	1967	Sweden	0
Carson	Frank	N	1926	1934	RW	F	NA	67	165	January	12	1902	Canada	0
Hill	Brian	N	1980	1980	RW	F	NA	73	175	January	12	1957	Canada	0
Pirus	Alex	N	1977	1980	RW	F	NA	73	205	January	12	1955	Canada	0
Borschevsky	Nikolai	N	1993	1996	RW	F	NA	69	180	January	12	1965	Russia	0
Giroux	Claude	N	2008	2009	RW	F	NA	71	180	January	12	1988	Canada	0
Hossa	Marian	N	1998	2009	RW	F	NA	73	210	January	12	1979	Slovakia	0
Gordon	Robb	N	1999	1999	C	F	NA	71	190	January	13	1976	Canada	0
Bouck	Tyler	N	2001	2007	C	F	NA	73	196	January	13	1980	Canada	0
Colliton	Jeremy	N	2006	2009	C	F	NA	74	195	January	13	1985	Canada	0
Rupp	Mike	N	2003	2009	C	F	NA	77	230	January	13	1980	USA	0
Ross	Art	Y	1918	1918	D	D	NA	71	190	January	13	1886	Canada	0
Bessone	Pete	N	1938	1938	D	D	NA	71	200	January	13	1913	USA	0
Nicolson	Graeme	N	1979	1983	D	D	NA	73	185	January	13	1958	Canada	0
Pedersen	Allen	N	1987	1994	D	D	NA	75	210	January	13	1965	Canada	0
Plavsic	Adrien	N	1990	1997	D	D	NA	73	200	January	13	1970	Canada	0
Johnson	Jack	N	2007	2009	D	D	NA	73	212	January	13	1987	USA	0
Staal	Marc	N	2008	2009	D	D	NA	76	210	January	13	1987	Canada	0
Maniago	Cesare	N	1961	1978	G	G	NA	75	195	January	13	1939	Canada	0
Palmateer	Mike	N	1977	1984	G	G	NA	69	170	January	13	1954	Canada	0
Hrudey	Kelly	N	1984	1998	G	G	NA	70	189	January	13	1961	Canada	0
Khabibulin	Nikolai	N	1995	2009	G	G	NA	73	208	January	13	1973	Ukraine	0
Lafrance	Adie	N	1934	1934	LW	F	NA	70	165	January	13	1912	Canada	0
Klein	Lloyd	N	1929	1938	LW	F	NA	73	185	January	13	1910	Canada	0
Brylin	Sergei	N	1995	2008	LW	F	NA	70	190	January	13	1974	Russia	0
Picard	Roger	N	1968	1968	RW	F	NA	73	200	January	13	1935	Canada	0
Higgins	Paul	N	1982	1983	RW	F	NA	73	195	January	13	1962	Canada	0
Wong	Mike	N	1976	1976	C	F	NA	75	204	January	14	1955	USA	0
Emma	David	N	1993	2001	C	F	NA	70	185	January	14	1969	USA	0
MacLean	Don	N	1998	2007	C	F	NA	74	199	January	14	1977	Canada	0
MacKay	 David 	N	1941	1941	D	D	NA	73	210	January	14	1919	Canada	0
Tuten	Aud	N	1942	1943	D	D	NA	70	180	January	14	1915	USA	0
Boimistruck	Fred	N	1982	1983	D	D	NA	71	190	January	14	1962	Canada	0
Pederson	Tom	N	1993	1997	D	D	NA	69	175	January	14	1970	USA	0
Charron	Eric	N	1993	2000	D	D	NA	75	195	January	14	1970	Canada	0
Kurtz	Justin	N	2002	2002	D	D	NA	73	188	January	14	1977	Canada	0
Boynton	Nick	N	2000	2009	D	D	NA	74	210	January	14	1979	Canada	0
Essensa	Bob	N	1989	2002	G	G	NA	73	190	January	14	1965	Canada	0
Siebert	 Albert 	Y	1926	1939	LW	F	D	70	182	January	14	1904	Canada	0
